player_id,short_name,overall,potential,value_eur,wage_eur,age,club_team_id,club_name,league_id,league_name,club_position,nationality_name,release_clause_eur,pace,shooting,passing,dribbling,defending,physic,first_position,ST,CM,CF,GK,LW,CDM,CB,RW,CAM,RB,RM,LB,LM,LWB,RWB,forward_1,forward_2,forward_3,forward_4,forward_5,skill_forward_1,skill_forward_2,skill_forward_3,skill_forward_4,skill_forward_5,x
188545,R. Lewandowski,90,90,5.8e7,340000.0,34,241,FC Barcelona,53.0,La Liga,ST,Poland,118900000,75,91,80,87,44,84,ST,true,false,false,false,false,false,false,false,false,false,false,false,false,false,false,87.0,86.0,85.0,84.0,83.0,88.0,87.0,86.0,85.0,84.0,x[188545]
246430,D. Vlahović,83,88,5.55e7,125000.0,23,45,Juventus,31.0,Serie A,RS,Serbia,98500000,80,85,66,79,29,82,ST,true,false,false,false,false,false,false,false,false,false,false,false,false,false,false,84.0,85.0,86.0,87.0,88.0,86.0,87.0,88.0,89.0,90.0,x[246430]
192119,T. Courtois,90,90,6.3e7,250000.0,31,243,Real Madrid,53.0,La Liga,SUB,Belgium,129200000,0,0,0,0,0,0,GK,false,false,false,true,false,false,false,false,false,false,false,false,false,false,false,90.0,90.0,90.0,90.0,89.0,90.0,90.0,90.0,90.0,89.0,x[192119]
192448,M. ter Stegen,89,89,5.45e7,220000.0,31,241,FC Barcelona,53.0,La Liga,GK,Germany,111700000,0,0,0,0,0,0,GK,false,false,false,true,false,false,false,false,false,false,false,false,false,false,false,89.0,89.0,89.0,89.0,88.0,89.0,89.0,89.0,89.0,88.0,x[192448]
167495,M. Neuer,87,87,9.0e6,55000.0,37,21,FC Bayern München,19.0,Bundesliga,SUB,Germany,14900000,0,0,0,0,0,0,GK,false,false,false,true,false,false,false,false,false,false,false,false,false,false,false,84.0,83.0,82.0,81.0,80.0,84.0,83.0,82.0,81.0,80.0,x[167495]
186153,W. Szczęsny,86,86,2.2e7,125000.0,33,45,Juventus,31.0,Serie A,GK,Poland,37400000,0,0,0,0,0,0,GK,false,false,false,true,false,false,false,false,false,false,false,false,false,false,false,86.0,86.0,85.0,84.0,83.0,86.0,86.0,85.0,84.0,83.0,x[186153]
237692,P. Foden,85,90,8.15e7,180000.0,23,10,Manchester City,13.0,Premier League,RW,England,156900000,81,79,82,88,57,60,LW,false,false,false,false,true,false,false,false,false,false,false,false,false,false,false,86.25,87.5,88.75,90.0,90.0,89.25,90.5,91.75,93.0,93.0,x[237692]
220502,M. Zaccagni,82,82,3.05e7,73000.0,28,46,Lazio,31.0,Serie A,LW,Italy,51900000,87,77,74,88,57,67,LW,false,false,false,false,true,false,false,false,false,false,false,false,false,false,false,82.0,82.0,82.0,81.0,80.0,88.0,88.0,88.0,87.0,86.0,x[220502]
203574,J. Stones,85,86,4.95e7,180000.0,29,10,Manchester City,13.0,Premier League,RCB,England,95300000,72,52,75,77,85,77,CB,false,false,false,false,false,false,true,false,false,false,false,false,false,false,false,86.0,86.0,86.0,86.0,86.0,86.0,86.0,86.0,86.0,86.0,x[203574]
197445,D. Alaba,85,85,3.7e7,200000.0,31,243,Real Madrid,53.0,La Liga,LCB,Austria,75900000,79,71,83,80,85,77,CB,false,false,false,false,false,false,true,false,false,false,false,false,false,false,false,85.0,85.0,85.0,84.0,83.0,85.0,85.0,85.0,84.0,83.0,x[197445]
